book_id,title,author,genre,word_count,file_path,url,is_valid
26031,"Memoirs and Correspondence of Admiral Lord de Saumarez, Vol. I",Sir John Ross,Biography,112447,raw/Biography/26031.txt,https://www.gutenberg.org/ebooks/26031,True
5862,"The Memoirs of General Ulysses S. Grant, Part 3.",Ulysses S. Grant,Biography,47292,raw/Biography/5862.txt,https://www.gutenberg.org/ebooks/5862,True
7851,"Memoirs of Aaron Burr, Volume 2.",Aaron Burr,Biography,146852,raw/Biography/7851.txt,https://www.gutenberg.org/ebooks/7851,True
73721,Book 73721,Unknown,Biography,117509,raw/Biography/73721.txt,https://www.gutenberg.org/ebooks/73721,True
39305,The Memoires of Casanova,Jacques Casanova de Seingalt,Biography,195251,raw/Biography/39305.txt,https://www.gutenberg.org/ebooks/39305,True
3895,"Memoirs of the Court of St. Cloud, Volume 4",Lewis Goldsmith,Biography,19246,raw/Biography/3895.txt,https://www.gutenberg.org/ebooks/3895,True
10884,Book 10884,Unknown,Biography,153098,raw/Biography/10884.txt,https://www.gutenberg.org/ebooks/10884,True
26456,L'oeuvre des conteurs allemands: mémoires d'une chanteuse allemande,Anonymous,Biography,67968,raw/Biography/26456.txt,https://www.gutenberg.org/ebooks/26456,True
5854,"The Memoirs of General Philip H. Sheridan, Vol. I., Part 1",Philip H. Sheridan,Biography,33368,raw/Biography/5854.txt,https://www.gutenberg.org/ebooks/5854,True
57738,Memoirs of Eighty Years,Thomas Gordon Hake,Biography,82208,raw/Biography/57738.txt,https://www.gutenberg.org/ebooks/57738,True
13106,Book 13106,Unknown,Biography,101089,raw/Biography/13106.txt,https://www.gutenberg.org/ebooks/13106,True
3729,Widger's Quotations from The Memoirs of Napoleon,David Widger,Biography,13200,raw/Biography/3729.txt,https://www.gutenberg.org/ebooks/3729,True
46709,Book 46709,Unknown,Biography,122080,raw/Biography/46709.txt,https://www.gutenberg.org/ebooks/46709,True
22136,The Book-Hunter,John Hill Burton,Biography,135725,raw/Biography/22136.txt,https://www.gutenberg.org/ebooks/22136,True
3564,"Memoirs of Napoleon Bonaparte, v14",Louis Antoine Fauvelet de Bourrienne,Biography,17062,raw/Biography/3564.txt,https://www.gutenberg.org/ebooks/3564,True
3883,"The Secret Memoirs of Louis XV./XVI, Complete","Madame du Hausset, an “Unknown English Girl” and the Princess Lamballe",Biography,151405,raw/Biography/3883.txt,https://www.gutenberg.org/ebooks/3883,True
50113,Book 50113,Unknown,Biography,163974,raw/Biography/50113.txt,https://www.gutenberg.org/ebooks/50113,True
38519,"The Memoirs of Charles-Lewis, Baron de Pollnitz, Volume IV",Karl Ludwig von Pöllnitz,Biography,113686,raw/Biography/38519.txt,https://www.gutenberg.org/ebooks/38519,True
7975,"Memoirs of James Robert Hope-Scott, Volume 2",Robert Ornsby,Biography,96838,raw/Biography/7975.txt,https://www.gutenberg.org/ebooks/7975,True
37330,"Aileen Aroon, A Memoir",Gordon Stables,Biography,109207,raw/Biography/37330.txt,https://www.gutenberg.org/ebooks/37330,True
55047,Book 55047,Unknown,Biography,84917,raw/Biography/55047.txt,https://www.gutenberg.org/ebooks/55047,True
6166,Charles Lamb,Barry Cornwall,Biography,51353,raw/Biography/6166.txt,https://www.gutenberg.org/ebooks/6166,True
8497,The Poems And Prose Of Ernest Dowson,Ernest Dowson et al,Biography,49936,raw/Biography/8497.txt,https://www.gutenberg.org/ebooks/8497,True
53534,Book 53534,Unknown,Biography,89703,raw/Biography/53534.txt,https://www.gutenberg.org/ebooks/53534,True
55070,Book 55070,Unknown,Biography,180762,raw/Biography/55070.txt,https://www.gutenberg.org/ebooks/55070,True
55953,Book 55953,Unknown,Biography,68733,raw/Biography/55953.txt,https://www.gutenberg.org/ebooks/55953,True
3871,"The Memoirs of Louis XIV., Volume 12",Duc de Saint-Simon,Biography,33914,raw/Biography/3871.txt,https://www.gutenberg.org/ebooks/3871,True
35884,"John Patrick, Third Marquess of Bute, K.T.",David Hunter Blair,Biography,78328,raw/Biography/35884.txt,https://www.gutenberg.org/ebooks/35884,True
2964,The Eternal Quest: Switzerland,Jacques Casanova de Seingalt,Biography,51756,raw/Biography/2964.txt,https://www.gutenberg.org/ebooks/2964,True
57081,The Memoirs of Charles H. Cramp,Augustus C. Buell,Biography,65745,raw/Biography/57081.txt,https://www.gutenberg.org/ebooks/57081,True
20489,"Henry of Monmouth, Volume 2",J. Endell Tyler,Biography,122111,raw/Biography/20489.txt,https://www.gutenberg.org/ebooks/20489,True
4362,"The Memoirs of General P. H. Sheridan, Complete",General Philip Henry Sheridan,Biography,202497,raw/Biography/4362.txt,https://www.gutenberg.org/ebooks/4362,True
3556,"Memoirs of Napoleon Bonaparte, v6",Louis Antoine Fauvelet de Bourrienne,Biography,36816,raw/Biography/3556.txt,https://www.gutenberg.org/ebooks/3556,True
3852,"The Memoirs of Madame de Montespan, Volume VI.",Madame La Marquise De Montespan,Biography,26363,raw/Biography/3852.txt,https://www.gutenberg.org/ebooks/3852,True
22345,"Memoirs of the Private Life, Return, and Reign of Napoleon in 1815, Vol. I",Pierre Antoine Edouard Fleury de Chaboulon,Biography,99027,raw/Biography/22345.txt,https://www.gutenberg.org/ebooks/22345,True
2970,Adventures In The South: Milan,Jacques Casanova de Seingalt,Biography,56673,raw/Biography/2970.txt,https://www.gutenberg.org/ebooks/2970,True
50630,Book 50630,Unknown,Biography,172391,raw/Biography/50630.txt,https://www.gutenberg.org/ebooks/50630,True
40236,Book 40236,Unknown,Biography,90217,raw/Biography/40236.txt,https://www.gutenberg.org/ebooks/40236,True
65780,Book 65780,Unknown,Biography,106597,raw/Biography/65780.txt,https://www.gutenberg.org/ebooks/65780,True
3845,"Memoirs Of Jean Francois Paul De Gondi, Cardinal De Retz, Volume IV.","Jean Francois Paul de Gondi, Cardinal de Retz",Biography,16241,raw/Biography/3845.txt,https://www.gutenberg.org/ebooks/3845,True
3863,"The Memoirs of Louis XIV., Volume 4",Duc de Saint-Simon,Biography,30966,raw/Biography/3863.txt,https://www.gutenberg.org/ebooks/3863,True
4728,"Memoir of John Lothrop Motley, Complete","Oliver Wendell Holmes, Sr.",Biography,56768,raw/Biography/4728.txt,https://www.gutenberg.org/ebooks/4728,True
5856,"The Memoirs of General Philip H. Sheridan, Vol. I., Part 3",P. H. Sheridan,Biography,47494,raw/Biography/5856.txt,https://www.gutenberg.org/ebooks/5856,True
13751,Book 13751,Unknown,Biography,111336,raw/Biography/13751.txt,https://www.gutenberg.org/ebooks/13751,True
42916,"Memoirs of Robert-Houdin, ambassador, author and conjurer",Jean Henri Robert-Houdin,Biography,128887,raw/Biography/42916.txt,https://www.gutenberg.org/ebooks/42916,True
