book_id,title,author,genre,word_count,file_path,url,processed_path
26031,"Memoirs and Correspondence of Admiral Lord de Saumarez, Vol. I",Sir John Ross,Biography,112447.0,raw/Biography/26031.txt,https://www.gutenberg.org/ebooks/26031,processed/Biography/26031.txt
5862,"The Memoirs of General Ulysses S. Grant, Part 3.",Ulysses S. Grant,Biography,47292.0,raw/Biography/5862.txt,https://www.gutenberg.org/ebooks/5862,processed/Biography/5862.txt
7851,"Memoirs of Aaron Burr, Volume 2.",Aaron Burr,Biography,146852.0,raw/Biography/7851.txt,https://www.gutenberg.org/ebooks/7851,processed/Biography/7851.txt
73721,Book 73721,Unknown,Biography,117509.0,raw/Biography/73721.txt,https://www.gutenberg.org/ebooks/73721,processed/Biography/73721.txt
39305,The Memoires of Casanova,Jacques Casanova de Seingalt,Biography,195251.0,raw/Biography/39305.txt,https://www.gutenberg.org/ebooks/39305,processed/Biography/39305.txt
3895,"Memoirs of the Court of St. Cloud, Volume 4",Lewis Goldsmith,Biography,19246.0,raw/Biography/3895.txt,https://www.gutenberg.org/ebooks/3895,processed/Biography/3895.txt
10884,Book 10884,Unknown,Biography,153098.0,raw/Biography/10884.txt,https://www.gutenberg.org/ebooks/10884,processed/Biography/10884.txt
26456,L'oeuvre des conteurs allemands: mémoires d'une chanteuse allemande,Anonymous,Biography,67968.0,raw/Biography/26456.txt,https://www.gutenberg.org/ebooks/26456,processed/Biography/26456.txt
5854,"The Memoirs of General Philip H. Sheridan, Vol. I., Part 1",Philip H. Sheridan,Biography,33368.0,raw/Biography/5854.txt,https://www.gutenberg.org/ebooks/5854,processed/Biography/5854.txt
57738,Memoirs of Eighty Years,Thomas Gordon Hake,Biography,82208.0,raw/Biography/57738.txt,https://www.gutenberg.org/ebooks/57738,processed/Biography/57738.txt
13106,Book 13106,Unknown,Biography,101089.0,raw/Biography/13106.txt,https://www.gutenberg.org/ebooks/13106,processed/Biography/13106.txt
3729,Widger's Quotations from The Memoirs of Napoleon,David Widger,Biography,13200.0,raw/Biography/3729.txt,https://www.gutenberg.org/ebooks/3729,processed/Biography/3729.txt
46709,Book 46709,Unknown,Biography,122080.0,raw/Biography/46709.txt,https://www.gutenberg.org/ebooks/46709,processed/Biography/46709.txt
22136,The Book-Hunter,John Hill Burton,Biography,135725.0,raw/Biography/22136.txt,https://www.gutenberg.org/ebooks/22136,processed/Biography/22136.txt
3564,"Memoirs of Napoleon Bonaparte, v14",Louis Antoine Fauvelet de Bourrienne,Biography,17062.0,raw/Biography/3564.txt,https://www.gutenberg.org/ebooks/3564,processed/Biography/3564.txt
3883,"The Secret Memoirs of Louis XV./XVI, Complete","Madame du Hausset, an “Unknown English Girl” and the Princess Lamballe",Biography,151405.0,raw/Biography/3883.txt,https://www.gutenberg.org/ebooks/3883,processed/Biography/3883.txt
50113,Book 50113,Unknown,Biography,163974.0,raw/Biography/50113.txt,https://www.gutenberg.org/ebooks/50113,processed/Biography/50113.txt
38519,"The Memoirs of Charles-Lewis, Baron de Pollnitz, Volume IV",Karl Ludwig von Pöllnitz,Biography,113686.0,raw/Biography/38519.txt,https://www.gutenberg.org/ebooks/38519,processed/Biography/38519.txt
7975,"Memoirs of James Robert Hope-Scott, Volume 2",Robert Ornsby,Biography,96838.0,raw/Biography/7975.txt,https://www.gutenberg.org/ebooks/7975,processed/Biography/7975.txt
37330,"Aileen Aroon, A Memoir",Gordon Stables,Biography,109207.0,raw/Biography/37330.txt,https://www.gutenberg.org/ebooks/37330,processed/Biography/37330.txt
55047,Book 55047,Unknown,Biography,84917.0,raw/Biography/55047.txt,https://www.gutenberg.org/ebooks/55047,processed/Biography/55047.txt
6166,Charles Lamb,Barry Cornwall,Biography,51353.0,raw/Biography/6166.txt,https://www.gutenberg.org/ebooks/6166,processed/Biography/6166.txt
8497,The Poems And Prose Of Ernest Dowson,Ernest Dowson et al,Biography,49936.0,raw/Biography/8497.txt,https://www.gutenberg.org/ebooks/8497,processed/Biography/8497.txt
53534,Book 53534,Unknown,Biography,89703.0,raw/Biography/53534.txt,https://www.gutenberg.org/ebooks/53534,processed/Biography/53534.txt
55070,Book 55070,Unknown,Biography,180762.0,raw/Biography/55070.txt,https://www.gutenberg.org/ebooks/55070,processed/Biography/55070.txt
55953,Book 55953,Unknown,Biography,68733.0,raw/Biography/55953.txt,https://www.gutenberg.org/ebooks/55953,processed/Biography/55953.txt
3871,"The Memoirs of Louis XIV., Volume 12",Duc de Saint-Simon,Biography,33914.0,raw/Biography/3871.txt,https://www.gutenberg.org/ebooks/3871,processed/Biography/3871.txt
35884,"John Patrick, Third Marquess of Bute, K.T.",David Hunter Blair,Biography,78328.0,raw/Biography/35884.txt,https://www.gutenberg.org/ebooks/35884,processed/Biography/35884.txt
2964,The Eternal Quest: Switzerland,Jacques Casanova de Seingalt,Biography,51756.0,raw/Biography/2964.txt,https://www.gutenberg.org/ebooks/2964,processed/Biography/2964.txt
57081,The Memoirs of Charles H. Cramp,Augustus C. Buell,Biography,65745.0,raw/Biography/57081.txt,https://www.gutenberg.org/ebooks/57081,processed/Biography/57081.txt
20489,"Henry of Monmouth, Volume 2",J. Endell Tyler,Biography,122111.0,raw/Biography/20489.txt,https://www.gutenberg.org/ebooks/20489,processed/Biography/20489.txt
4362,"The Memoirs of General P. H. Sheridan, Complete",General Philip Henry Sheridan,Biography,202497.0,raw/Biography/4362.txt,https://www.gutenberg.org/ebooks/4362,processed/Biography/4362.txt
3556,"Memoirs of Napoleon Bonaparte, v6",Louis Antoine Fauvelet de Bourrienne,Biography,36816.0,raw/Biography/3556.txt,https://www.gutenberg.org/ebooks/3556,processed/Biography/3556.txt
3852,"The Memoirs of Madame de Montespan, Volume VI.",Madame La Marquise De Montespan,Biography,26363.0,raw/Biography/3852.txt,https://www.gutenberg.org/ebooks/3852,processed/Biography/3852.txt
22345,"Memoirs of the Private Life, Return, and Reign of Napoleon in 1815, Vol. I",Pierre Antoine Edouard Fleury de Chaboulon,Biography,99027.0,raw/Biography/22345.txt,https://www.gutenberg.org/ebooks/22345,processed/Biography/22345.txt
2970,Adventures In The South: Milan,Jacques Casanova de Seingalt,Biography,56673.0,raw/Biography/2970.txt,https://www.gutenberg.org/ebooks/2970,processed/Biography/2970.txt
50630,Book 50630,Unknown,Biography,172391.0,raw/Biography/50630.txt,https://www.gutenberg.org/ebooks/50630,processed/Biography/50630.txt
40236,Book 40236,Unknown,Biography,90217.0,raw/Biography/40236.txt,https://www.gutenberg.org/ebooks/40236,processed/Biography/40236.txt
65780,Book 65780,Unknown,Biography,106597.0,raw/Biography/65780.txt,https://www.gutenberg.org/ebooks/65780,processed/Biography/65780.txt
3845,"Memoirs Of Jean Francois Paul De Gondi, Cardinal De Retz, Volume IV.","Jean Francois Paul de Gondi, Cardinal de Retz",Biography,16241.0,raw/Biography/3845.txt,https://www.gutenberg.org/ebooks/3845,processed/Biography/3845.txt
3863,"The Memoirs of Louis XIV., Volume 4",Duc de Saint-Simon,Biography,30966.0,raw/Biography/3863.txt,https://www.gutenberg.org/ebooks/3863,processed/Biography/3863.txt
4728,"Memoir of John Lothrop Motley, Complete","Oliver Wendell Holmes, Sr.",Biography,56768.0,raw/Biography/4728.txt,https://www.gutenberg.org/ebooks/4728,processed/Biography/4728.txt
5856,"The Memoirs of General Philip H. Sheridan, Vol. I., Part 3",P. H. Sheridan,Biography,47494.0,raw/Biography/5856.txt,https://www.gutenberg.org/ebooks/5856,processed/Biography/5856.txt
13751,Book 13751,Unknown,Biography,111336.0,raw/Biography/13751.txt,https://www.gutenberg.org/ebooks/13751,processed/Biography/13751.txt
42916,"Memoirs of Robert-Houdin, ambassador, author and conjurer",Jean Henri Robert-Houdin,Biography,128887.0,raw/Biography/42916.txt,https://www.gutenberg.org/ebooks/42916,processed/Biography/42916.txt
5850,"The Memoirs of General W. T. Sherman, Vol. I., Part 1",William T. Sherman,Biography,78580.0,raw/Biography/5850.txt,https://www.gutenberg.org/ebooks/5850,processed/Biography/5850.txt
7449,Memoirs of General Lafayette,Lafayette,Biography,74850.0,raw/Biography/7449.txt,https://www.gutenberg.org/ebooks/7449,processed/Biography/7449.txt
